"profile","sum_t3","sum_t5","sum_t8","sum_t10"
"Early 4Yr hitter",0.219370841622385,0.661974359006833,0.901118905660921,0.950002762777945
"Early HS hitter",0.0897366206955181,0.384060239364549,0.816330393170284,0.920462296894189
"Early HS pitcher",0.081115018446551,0.347383127911357,0.746920084883273,0.844286960729046
"Late 4Yr hitter",0.491747731818364,0.751275258942886,0.908493754959115,0.940462668385793
"Late HS hitter",0.318437644318266,0.646843188494821,0.88789785433166,0.93835856610701
"Late HS pitcher",0.278441731097301,0.559561313810986,0.809600688264209,0.877477643433801
"Mid 4Yr pitcher",0.20624669902935,0.465867342171658,0.699955453525223,0.75629476224926
"Mid JC hitter",0.283346538484053,0.54407398261616,0.782398471931868,0.841354043994749
