"model","tv_block","df","LRT","p_value","padj_BH"
"MLB","Type x log(time)",2,163.673040340829,2.87641054238445e-36,2.30112843390756e-35
"MLB","OvPck x log(time)",1,37.3809426372827,9.71669635637063e-10,2.5911190283655e-09
"MLB","newPOS x log(time)",4,8.57999790306349,0.0724991164668639,0.0724991164668639
"MLB","BSp x log(time)",1,5.45377245000054,0.0195261183757657,0.022315563858018
"Retire","Type x log(time)",2,75.902201076693,3.2964497056207e-17,1.31857988224828e-16
"Retire","OvPck x log(time)",1,19.2401868209708,1.1526131545637e-05,1.84418104730193e-05
"Retire","newPOS x log(time)",4,31.1704719019763,2.82578868465716e-06,5.65157736931431e-06
"Retire","BSp x log(time)",1,12.6927033554093,0.00036708518164324,0.000489446908857653
