Draft,Round,Pick,Name,Position,Signing Bonus,School Type,MLB Debut,Years in MLB,Active,Last Year,Age at Draft,Rookie Year,Bats,Throws
2011,49,18,Charlie LaMar,LHP,,HS,N/A,N/A,FALSE,2015,18,N/A,Left,Left
2011,49,19,Corey Baker,RHP,,4Yr,N/A,N/A,FALSE,2017,21,N/A,Right,Right
2011,49,20,Zach Regier,Batter,,HS,N/A,N/A,FALSE,2017,21,N/A,Right,
2011,49,21,Jadd Schmeltzer,RHP,,4Yr,N/A,N/A,FALSE,2015,22,N/A,Right,Right
2011,49,22,Ryan Hutchison,Batter,,4Yr,N/A,N/A,FALSE,2015,21,N/A,Right,Right
2011,49,23,Mick VanVossen,RHP,,HS,N/A,N/A,FALSE,2017,18,N/A,Right,Right
2011,49,24,Eric Alessio,RHP,,4Yr,N/A,N/A,FALSE,2011,22,N/A,Right,Right
2011,49,25,Cody Cox,RHP,,JC,N/A,N/A,FALSE,2011,22,N/A,Right,
2011,49,26,Benjamin Sosnick,Batter,,HS,N/A,N/A,FALSE,2011,22,N/A,Right,
2011,49,27,Drake Roberts,Batter,,HS,N/A,N/A,FALSE,2014,19,N/A,Both,Right
2011,49,28,Tyler Mapes,RHP,,JC,N/A,N/A,FALSE,2019,19,N/A,Right,Right
2011,49,29,Alan Baldwin,Batter,,HS,N/A,N/A,FALSE,2016,18,N/A,Right,Right
2011,49,30,Johnathan Knight,Batter,,HS,N/A,N/A,FALSE,2013,18,N/A,Right,Right
2011,50,1,Zech Lemond,RHP,,HS,N/A,N/A,FALSE,2019,18,N/A,Right,Right
2011,50,2,Esteban Tresgallo,Batter,,HS,N/A,N/A,FALSE,2016,17,N/A,Right,Right
2011,50,3,David Masters,Batter,,HS,N/A,N/A,FALSE,2021,18,N/A,Right,Right
2011,50,4,Brendan Butler,Batter,,HS,N/A,N/A,FALSE,2015,17,N/A,Right,Right
2011,50,5,Kash Kalkowski,Batter,,4Yr,N/A,N/A,FALSE,2013,22,N/A,Right,Right
2011,50,6,Tony Nix,Batter,,4Yr,N/A,N/A,FALSE,2012,22,N/A,Right,Right
2011,50,7,Tyler Baker,Batter,,HS,N/A,N/A,FALSE,2018,18,N/A,Left,Right
