Year,Rnd,OvPck,Name.cleaned,Name.student,status.cleaned,times.cleaned,status.student,times.student,changed_status,changed_times
2016,21,625,Joe Navilhon (minors),Joe Navilhon,0,6,2,7,TRUE,TRUE
2016,21,631,Chris Clare (minors),Chris Clare,0,6,2,6,TRUE,FALSE
2016,21,637,Chuckie Robinson (minors),Chuckie Robinson,0,6,1,7,TRUE,TRUE
2016,21,640,Max Kuhns (minors),Max Kuhns,0,6,0,9,FALSE,TRUE
2016,21,645,Matt Eckelman (minors),Matt Eckelman,0,6,2,8,TRUE,TRUE
2016,22,653,Alejandro Mateo (minors),Alejandro Mateo,2,5,2,8,FALSE,TRUE
2016,22,654,Evan Miller (minors),Evan Miller,0,6,2,7,TRUE,TRUE
2016,22,656,Joel Booker (minors),Joel Booker,0,6,2,7,TRUE,TRUE
2016,22,675,Brandon Bingel (minors),Brandon Bingel,0,6,2,6,TRUE,FALSE
2016,23,684,Nate Easley (minors),Nate Easley,0,6,2,6,TRUE,FALSE
2016,23,686,Sam Dexter (minors),Sam Dexter,0,6,0,9,FALSE,TRUE
2016,23,687,Jack Anderson (minors),Jack Anderson,0,6,2,8,TRUE,TRUE
2016,23,690,Isaac Benard (minors),Isaac Benard,0,6,2,7,TRUE,TRUE
2016,23,691,Tyler Erwin (minors),Tyler Erwin,0,6,2,6,TRUE,FALSE
2016,23,693,Caleb Hamilton (minors),Caleb Hamilton,0,6,1,7,TRUE,TRUE
2016,23,696,Torii Hunter Jr. (minors),Torii Hunter Jr.,0,6,2,7,TRUE,TRUE
2016,23,698,Braden Bristo (minors),Braden Bristo,0,6,1,8,TRUE,TRUE
2016,23,699,Dylan Bice (minors),Dylan Bice,0,6,0,9,FALSE,TRUE
2016,23,702,Dom Abbadessa (minors),Dom Abbadessa,0,6,2,6,TRUE,FALSE
2016,23,704,Delvin Zinn (minors),Delvin Zinn,0,6,0,9,FALSE,TRUE
2016,24,709,Matt Hearn (minors),Matt Hearn,0,6,2,6,TRUE,FALSE
2016,24,717,Trey Griffey (minors),Trey Griffey,2,1,2,3,FALSE,TRUE
2016,24,721,Zach Matson (minors),Zach Matson,0,6,0,9,FALSE,TRUE
2016,24,722,Skylar Arias (minors),Skylar rias,0,6,2,8,TRUE,TRUE
2016,24,725,Jeffry Parra (minors),Jeffry Parra,0,6,0,9,FALSE,TRUE
2016,24,732,Mike Ellenbest (minors),Mike Ellenbest,0,6,2,7,TRUE,TRUE
2016,25,737,Trevor Bettencourt (minors),Trevor Bettencourt,2,4,0,9,TRUE,TRUE
2016,25,740,Heath Holder (minors),Heath Holder,0,6,2,7,TRUE,TRUE
2016,25,745,John Hayes (minors),John Hayes,0,6,2,7,TRUE,TRUE
2016,25,748,Francisco Lopez-Soto (minors),Francisco Lopez-Soto,0,6,2,3,TRUE,TRUE
2016,25,750,Matt Vogel (minors),Matt Vogel,0,6,2,8,TRUE,TRUE
2016,25,752,Jonathan Laureano (minors),Jonathan Laureano,0,6,2,4,TRUE,TRUE
2016,26,782,Tanner Tully (minors),Tanner Tully,0,6,1,7,TRUE,TRUE
2016,26,784,Jack Sundberg (minors),Jack Sundberg,0,6,2,8,TRUE,TRUE
2016,26,789,Tyree Thompson (minors),Tyree Thompson,0,6,0,9,FALSE,TRUE
2016,26,795,Robbie Coursel (minors),Robbie Coursel,0,6,2,7,TRUE,TRUE
2016,27,799,Corbin Clouse (minors),Corbin Clouse,0,6,2,6,TRUE,FALSE
2016,27,803,Parker Bugg (minors),Parker Bugg,0,6,0,9,FALSE,TRUE
2016,27,805,Chad Sedio (minors),Chad Sedio,0,6,0,9,FALSE,TRUE
2016,27,810,Robbie Tenerowicz (minors),Robbie Tenerowicz,0,6,0,9,FALSE,TRUE
2016,27,815,Pat Ruotolo (minors),Pat Ruotolo,0,6,2,8,TRUE,TRUE
2016,27,819,Lucas Jacobsen (minors),Lucas Jacobsen,2,5,2,8,FALSE,TRUE
2016,27,822,Ryan Gold (minors),Ryan Gold,0,6,2,7,TRUE,TRUE
2016,27,824,Connor Myers (minors),Connor Myers,0,6,2,6,TRUE,FALSE
2016,28,829,Nick Shumpert (minors),Nick Shumpert,0,6,0,9,FALSE,TRUE
2016,28,830,Ryan Luna (minors),Ryan Luna,0,6,2,6,TRUE,FALSE
2016,28,834,Ethan Skender (minors),Ethan Skender,0,6,0,9,FALSE,TRUE
2016,29,859,Jackson Pokorney (minors),Jackson Pokorney,0,6,2,6,TRUE,FALSE
2016,29,860,Josh Shelley (minors),Josh Shelley,2,1,2,6,FALSE,TRUE
2016,29,862,Matt Milburn (minors),Matt Milburn,0,6,2,7,TRUE,TRUE
2016,29,867,Steven Ridings (minors),Steven Ridings,2,4,2,7,FALSE,TRUE
2016,29,883,Grant Gavin (minors),Grant Gavin,0,6,0,9,FALSE,TRUE
2016,30,892,Nick Highberger (minors),Nick Highberger,0,6,2,7,TRUE,TRUE
2016,30,902,Ryder Ryan (minors),Ryder Ryan,0,6,1,8,TRUE,TRUE
2016,30,908,Ben Ruta (minors),Ben Ruta,0,6,2,7,TRUE,TRUE
2016,30,909,Christian Torres (minors),Christian Torres,0,6,0,9,FALSE,TRUE
2016,30,911,Ramon Rodriguez (minors),Ramn Rodriguez,0,6,0,9,FALSE,TRUE
2016,30,912,Jake Fishman (minors),Jake Fishman,0,6,1,7,TRUE,TRUE
2016,30,913,Geoff Bramblett (minors),Geoff Bramblett,0,6,2,6,TRUE,FALSE
2016,31,921,Ryan Aguilar (minors),Ryan Aguilar,0,6,1,7,TRUE,TRUE
2016,31,930,Joey Roach (minors),Joey Roach,0,6,2,6,TRUE,FALSE
2016,31,933,Juan Gamez (minors),Juan Gmez,0,6,0,9,FALSE,TRUE
2016,31,936,Johnny Morell (minors),Johnny Morell,0,6,2,7,TRUE,TRUE
2016,31,941,Stevie Berman (minors),Stevie Berman,0,6,2,8,TRUE,TRUE
2016,31,943,Malcolm Van Buren (minors),Malcolm Van Buren,0,6,2,7,TRUE,TRUE
2016,32,952,Collin Theroux (minors),Collin Theroux,0,6,2,6,TRUE,FALSE
2016,32,959,Trevor Simms (minors),Trevor Simms,0,6,2,7,TRUE,TRUE
2016,32,965,John Timmins (minors),John Timmins,0,6,2,6,TRUE,FALSE
2016,32,974,Zach Davis (minors),Zach Davis,0,6,2,8,TRUE,TRUE
2016,33,996,Justin Kelly (minors),Justin Kelly,0,6,0,9,FALSE,TRUE
2016,33,1002,Brayden Bouchey (minors),Brayden Bouchey,0,6,2,6,TRUE,FALSE
2016,33,1004,Nate Sweeney (minors),Nate Sweeney,0,6,2,6,TRUE,FALSE
2016,34,1017,David Ellingson (minors),David Ellingson,0,6,2,7,TRUE,TRUE
2016,34,1019,Connor Owings (minors),Connor Owings,0,6,0,9,FALSE,TRUE
2016,34,1027,Stijn van der Meer (minors),Stijn van der Meer,0,6,2,8,TRUE,TRUE
2016,34,1033,Nathan Webb (minors),Nate Webb,0,6,2,7,TRUE,TRUE
2016,35,1055,Sidney Duprey (minors),Sidney Duprey,0,6,2,8,TRUE,TRUE
2016,35,1059,Jean Casanova (minors),Jean Casanova,0,6,2,8,TRUE,TRUE
2016,36,1087,Ian Hardman (minors),Ian Hardman,0,6,2,6,TRUE,FALSE
2016,36,1090,Garrison Bryant (minors),Garrison Bryant,0,6,2,8,TRUE,TRUE
2016,36,1096,Robbie Gordon (minors),Robbie Gordon,0,6,2,6,TRUE,FALSE
2016,37,1122,Luke Gillingham (minors),Luke Gillingham,0,6,2,6,TRUE,FALSE
2016,38,1151,Kevin Malisheski (minors),Kevin Malisheski,0,6,2,7,TRUE,TRUE
2016,39,1178,Brian Keller (minors),Brian Keller,0,6,2,8,TRUE,TRUE
2016,39,1182,Chavez Young (minors),Chavez Young,0,6,0,9,FALSE,TRUE
